solid,固体の、しっかりした
raw,生の
plain,平易な
primitive,原始の
steady,着実な
slight,わずかな
subtle,微妙な
delight,大喜びさせる
entertain,楽しませる
fulfill,満たす
cheer,元気づける
amuse,笑わせる
anticipate,予期する
confront,立ちはだかる
undergo,経験する
exceed,超える
overwhelm,まいらせる
shoot,撃つ
murder,殺害する
rob,奪う
deprive,奪う
rid,を取り除く
interrupt,さえぎる
interfere,邪魔する
bully,いじめる
defend,守る
rescue,を救う
accuse,非難する
sue,訴える
wander,ぶらつく，歩き回る
chase,追いかける
arrest,逮捕する
submit,提出する
punish,罰する
resolve,解決する
justify,正当化する
restore,修復する
modify,修正する
impose,押しつける
compose,構成する
classify,分類する
substitute,代わりに使う
shrink,縮む
lean,寄りかかる
fold,折り畳む
load,積む
pour,注ぐ
float,浮かぶ
shine,輝く
editor,編集者
poetry,詩
usage,使い方
sector,部門、分野
span,期間
literacy,読み書きの能力
symptom,症状
phase,段階
surgery,手術
virus,ウイルス
poison,毒
protein,タンパク質
liquid,液体
oxygen,酸素
globe,世界
pole,極(地)
valley,谷
conservation,(環境)保護
channel,伝達経路
glacier,氷河
pioneer,先駆者
prospect,見込み
enthusiasm,熱狂，熱中
passion,情熱
fortune,財産
obstacle,障害（物）
prejudice,偏見
justice,正義
opponent,相手、敵
sacrifice,犠牲
fault,責任
prison,刑務所
shelter,避難（所）
committee,委員会
ritual,儀式
mature,大人になった
moderate,適度な
neutral,中立の
optimistic,楽観的な
pessimistic,悲観的な
radical,根本的な
rough,粗い
smooth,滑らかな
fluent,流ちょうな
casual,形式ばらない
instant,即時の
incredible,信じられない
genuine,本物の
precious,貴重な
prominent,重要な
blind,目の見えない
deaf,耳が聞こえない
harsh,厳しい
prompt,迅速な
inevitable,避けられない
marine,海の
tropical,熱帯（地方）の
Arctic,北極の
forecast,予報
speculate,思索する
bet,きっと～だと思う
quote,引用する
consult,意見を求める
dispute,に異議を唱える
accumulate,集める、蓄積する
grasp,ぎゅっとつかむ、理解する
grip,をしっかり握る
seize,つかむ
comprehend,理解する
